行ID,施設名,郵便番号,住所,電話番号,ウェブサイトURL,初診の対応可能,再診の対応可能,対応診療科,担当医師名,対面診療が必要と判断した場合に連携する医療機関名（複数ある場合は複数、住所も併せて記載）,地方ID,地方,ID地方,都道府県ID,都道府県,ID都道府県,市区町村ID,市区町村,ID市区町村,二次医療圏ID,二次医療圏,ID二次医療圏
9186,香川県立中央病院,760-8557,香川県高松市朝日町１－２－１,087-811-3333,http://www.chp-kagawa.jp/,×,〇,消化器内科、肝臓内科、呼吸器内科、糖尿病内科、内分泌内科、血液内科、腎臓・膠原病内科、緩和ケア内科､ペインクリニック科、循環器内科、神経内科、小児科、消化器・一般外科、呼吸器外科、乳腺・内分泌外科、心臓血管外科、脳神経外科、整形外科、形成外科、皮膚科、放射線科、泌尿器科、産科、婦人科、眼科、耳鼻咽喉科、頭頸部外科、歯科、歯科口腔外科,各診療科の担当医師,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9187,内科高橋クリニック,761-0071,香川県高松市藤塚町１－８－１７,087-831-7073,https://www.naikatakahashi.clinic/,〇,〇,内科,髙橋道也,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9188,五色台クリニック,761-0113,香川県高松市寿町１－４－３,087-822-2311,http://www.goshikidai.or.jp/,×,〇,精神科心療内科,川西聖子伊達健司伊藤典子大澤礼,心の医療センター五色台（坂出市加茂町９６３）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9189,小林内科小児科医院,761-0113,香川県高松市屋島西町２４８５－６,087‐843-3315,,×,〇,内科小児科,小林稔小林鐘子,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9190,渋谷整形外科医院,761-0121,香川県高松市牟礼町牟礼９８６－１,087-845-9339,,×,〇,整形外科,渋谷整,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9191,加地医院,761-0121,香川県高松市牟礼町牟礼２２番地１,087-845-9713,kajiclinic.web.fc2.com/,〇,〇,内科消化器内科,加地英輔,県内基盤病院,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9192,しぶやこどもクリニック,761-0121,香川県高松市牟礼町牟礼２０９４－１,087-845-6111,https://www.shibuyaclinic.jp/,×,〇,小児科,澁谷幸彦澁谷郁彦,香川大学医学部附属病院（香川県木田郡三木町池戸１７５０－１）香川県立中央病院（香川県高松市朝日町１丁目２－１）高松赤十字病院（香川県高松市番町４丁目１－３）屋島総合病院（香川県高松市屋島西町２１０５－１７）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9193,三光病院,761-0123,香川県高松市牟礼町原８８３－１,087-845-3301,http://www.sanko-hp.com/,×,〇,精神科診療内科,各主治医,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9194,庵治整形外科・内科医院,761-0130,香川県高松市庵治町６１９番地,087-871-3801,,×,〇,整形外科内科,林春樹中村咲希木村公一,屋島総合病院（香川県高松市屋島西町２１０５－１７）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9195,高松医療センター,761-0193,香川県高松市新田町乙８番地,087-841-2146,https://takamatsu.hosp.go.jp/,×,〇,内科神経内科呼吸器内科,細川等市原典子東條泰典山野智子二見仁康田所明渋田佳子川北梨愛土居智和藤井正吾,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9196,河野内科医院,761-0312,香川県高松市東山崎町５４３－５,087-847-8150,,×,〇,内科,河野裕子,状況に応じ、対応してくれる病院とする,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9197,協和医院,761-0312,高松市東山崎町１６５－８香川県,087-847-6073,,×,〇,内科,三好賢一鈴江省三鈴江ひとみ,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9198,楓の森整形外科,761-0431,香川県高松市小村町２５６－２,087-887-9888,http://www.kaedenomori.jp/,×,〇,整形外科,森健,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9199,ハピネスこどもクリニック,761-0434,香川県高松市十川東町５５－１,087-848-9178,http://www.happiness-kids-c.com/index2.htm,×,〇,小児科,斎藤慎一,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9200,イズミ医院,761-0450,香川県高松市三谷町９０－１,087-840-1777,,×,〇,内科,泉佳成,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9201,綾田医院,761-1402,香川県高松市香南町由佐２１０－１,087-879-2008,ayada-clinic-yuusyoukai.com,〇,〇,内科消化器内科循環器内科,綾田潔,高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9202,のむら内科循環器消化器クリニック,761-1706,香川県高松市香川町川東上字漆原１８０２番地７,087-816-8088,,×,〇,内科,野村昌弘,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9203,横田外科医院,761-8002,香川県高松市生島町４６０－１,087-882-7165,,×,〇,外科,横田博,高松赤十字病院（香川県高松市番町４丁目１－３）香川県立中央病院（香川県高松市朝日町１丁目２－１）高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9204,かつが整形外科クリニック,761-8012,香川県高松市香西本町１１４－１０,087-832-8877,,×,〇,整形外科,西山徹,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9205,馬場病院,761-8031,香川県高松市郷東町５８０番地,087-881-4375,,×,〇,精神科,馬場信二,高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9206,住谷小児科医院,761-8031,香川県高松市郷東町２５－４,087-832-8808,https://iryoshadansumitanishonikain.hp.gogo.jp/pc/,×,△,小児科,住谷朋人,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9207,高松脳神経外科・外科医院,761-8041,香川県高松市檀紙町１５９３番地１,087-886-5588,takamatsunouge.jp,×,△,脳神経外科外科内科,竹内伸二竹内亮,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9208,藤沢こどもクリニック,761-8043,香川県高松市中間町４９－１０,087-885-3338,http://fujisawa.kids.coocan.jp/,〇,〇,小児科,藤澤卓爾,高松赤十字病院（香川県高松市番町４丁目１－３）香川大学医学部附属病院（香川県木田郡三木町池戸１７５０－１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9209,那須医院,761-8044,香川県高松市円座町１５９３,087-885-1406,,〇,〇,内科小児科,那須義功,香川県立中央病院（香川県高松市朝日町１丁目２－１）高松赤十字病院（香川県高松市番町４丁目１－３）高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）等の基幹病院,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9210,前田病院,761-8054,香川県高松市東ハゼ町８２４,087-865-7111,https://www.maeda-hosp.com/,×,〇,内科外科整形外科,前田雅彦明石瑛美子香川浩司高橋修治栗生雅人諸口明人鈴木雅美細川由香木村泰彦那須栄里子,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9211,田井メディカルクリニック,761-8057,香川県高松市田村町３３２－４,087-866-7311,http://www.tai-med-clinic.jp/,〇,〇,内科,田井祐爾細谷祐太,高松赤十字病院（香川県高松市番町４丁目１－３）高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）りつりん病院（香川県高松市栗林町３丁目５－９）香川県立中央病院（香川県高松市朝日町１丁目２－１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9212,かがわ総合リハビリテーション病院,761-8057,香川県高松市田村町１１１４番地,087-867-6008,www.kagawa-reha.net/hospital.html,×,〇,整形外科小児科内科脳神経外科眼科耳鼻咽喉科泌尿器科皮膚科,,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9213,宮本耳鼻咽喉科医院,761-8063,香川県高松市花ノ宮町１丁目１２－３６,087-834-0666,,〇,〇,耳鼻咽喉科,宮本永祥,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9214,三条山下内科医院,761-8072,香川県高松市三条町５０４－１,087-867-1201,http://www.sy-naika.com,〇,〇,内科,山下和彦,高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9215,安原クリニック,761-8072,香川県高松市三条町３２１－２,087-866-1111,,×,〇,産婦人科,,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9216,竹広小児科医院,761-8073,香川県高松市太田下町２４６２－３,087-866-2461,https://www.takehiro-clinic.jp,×,〇,小児科,竹廣敏史,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9217,木村耳鼻咽喉科医院,761-8074,香川県高松市太田上町４２０－１,087-815-3317,http://kimura-ent01.com/,〇,〇,耳鼻咽喉科アレルギー科,木村守,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9218,よこい内科クリニック,761-8075,香川県高松市多肥下町３５９－１,087-869-4511,http://yokoiclinic.main.jp/,×,〇,内科,横井健治,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9219,ササキメディカルクリニック,761-8075,香川県高松市多肥下町１５４７－８,087-814-3339,https://sasaki-medical.com,×,〇,内科外科乳腺外科,佐々木寛,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9220,あんどう発達クリニック,761-8075,香川県高松市多肥下町５１７－１０,087-867-0234,web.clinicn.jp/ando-ha-cl/,×,〇,小児神経内科小児科精神科,安藤美智子,へいわこどもクリニック平和病院（高松市栗林町１－４－１１）かがわ総合リハビリテーション病院（高松田村町１１１４）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9221,しんまるクリニック,761-8075,香川県高松市上福岡町９２２－１,087-887-7612,,〇,〇,内科,新丸昭子,高畠病院（香川県高松市国分寺町新名５００－１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9222,さくらの馬場クリニック,761-8078,香川県高松市仏生山町甲４７１－５,087-889-3555,www.sanshikai-med.jp,×,〇,内科循環器科,野上邦夫,高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9223,わき外・内科クリニック,761-8078,香川県高松市仏生山町甲４６０番地８,087-888-5123,https://wakigeka.com/,〇,〇,外科内科消化器科呼吸器内科肛門科皮膚泌尿器科,脇正志,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9224,福田眼科医院,761-8078,香川県高松市仏生山町甲３４４－３,087-889-5633,https://fukuda-gankaiin.com/,×,〇,眼科,福田紹平福田尚子,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9225,高松市立みんなの病院,761-8538,香川県高松市仏生山町甲８４７－１,087-813-7171,http://www.takamatsu-municipal-hospital.jp/,×,〇,各診療科,,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9226,上原耳鼻咽喉科医院,769-0101,香川県高松市国分寺町新居１３６２,087-874-4133,,×,〇,耳鼻咽喉科,上原範子,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9227,山田医院,769-0101,高松市国分寺町新居３３８８,087-874-0040,,×,〇,内科,山田淳智,高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）香川県立中央病院（香川県高松市朝日町１丁目２－１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9228,綾こどもクリニック,769-0103,香川県高松市国分寺町福家甲３１７１番地４,087-875-2220,,〇,〇,小児科,綾直文,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9229,安田内科,769-0103,香川県高松市国分寺町福家甲３０９１－４,087-875-2525,http://www.yasudanaika.jp,〇,〇,内科消化器内科,安田貢,滝宮総合病院（香川県綾歌郡綾川町滝宮４８６）高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）ＫＫＲ高松病院（香川県高松市天神前４－１８）香川県済生会病院（香川県高松市多肥上町１３３１－１）,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9230,こくぶ脳外科・内科クリニック,769-0103,香川県高松市国分寺町福家甲３８１２－１,087-875-2255,http://www.kokubu-clinic.jp/,〇,〇,内科（風邪のみ）,政田哲也,,7,四国,7四国,37,香川県,37香川県,37201,高松市,37201高松市,3703,高松,3703高松
9231,くすはら整形外科・外科医院,761-2404,香川県丸亀市綾歌町岡田東２２６９－７,0877-86-2340,,×,〇,整形外科,今井弘子,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9232,和田内科医院,761-2406,香川県丸亀市綾歌町栗熊東５０６番地,0877-86-6161,,×,〇,内科,和田俊裕,滝宮総合病院（香川県綾歌郡綾川町滝宮４８６）回生病院（香川県坂出市室町３丁目５－２８）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9233,杢保小児科医院,762-0082,香川県丸亀市飯山町川原９７２－１,0877-98-2010,https://www.mokubo.jp/,〇,〇,小児科アレルギー科,平場一美,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9234,吉田病院,763-0007,香川県丸亀市宗古町５,0877-22-8101,,×,△,内科,担当医,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9235,サンテ・ペアーレクリニック,763-0034,香川県丸亀市大手町３－３－２１,0877-23-8700,,〇,〇,内科,麻田浩一郎麻田ヒデミ,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9236,丸亀おのクリニック,763-0045,香川県丸亀市新町２－１３,0877-22-3902,http://www.ono-clinic.or.jp,〇,〇,内科,小野志麿人,香川労災病院（香川県丸亀市城東町３－３－１）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9237,田村クリニック,763-0048,香川県丸亀市幸町１－５－５,0877-22-8391,https://www.tamura-clin.com/,〇,〇,内科,田村礼三,香川労災病院（香川県丸亀市城東町３－３－１）回生病院（香川県坂出市室町３丁目５－２８）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9238,辻松外科内科医院,763-0064,香川県丸亀市塩屋町１－１２－２４,0877-22-6718,,〇,〇,内科,山内光昭,香川労災病院（香川県丸亀市城東町３－３－１）四国こどもとおとなの医療センター（香川県善通寺市仙遊町２丁目１－１）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9239,川井整形外科クリニック,763-0066,香川県丸亀市天満町１－１２－１２,0877-23-4010,https://www.kawaiseikei.jp/,〇,〇,整形外科,川井涼平,坂出市立病院（香川県坂出市寿町３－１－２）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9240,武岡皮膚科クリニック,763-0071,香川県丸亀市原田町１６３３－１,0877-25-1880,https://takeoka-clinic.com/,×,〇,皮膚科,武岡伸太郎,香川労災病院（香川県丸亀市城東町３－３－１）高松赤十字病院（香川県高松市番町４丁目１－３）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9241,岸本医院,763-0073,香川県丸亀市柞原町４８７,0877-22-5629,http://kishimoto-1.byoinnavi.jp,×,〇,内科,岸本裕司,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9242,はやしクリニック,763-0073,香川県丸亀市柞原町６３３－１,0877-23-5115,,×,〇,内科糖尿病内科内分泌内科,林啓介,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9243,もりもとこどもクリニック,763-0082,香川県丸亀市土器町東４－７１３－５,0877-25-9228,http://morimoto-kodomo-clinic.com/,×,〇,小児科,森本雄次松岡舟,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9244,永井小児科医院,763-0092,香川県高松市茜町２－２０,087-862-2920,https://park.paa.jp/park2/clinics/2313/,〇,〇,小児科,永井崇雄,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9245,岩本病院,763-0093,香川県丸亀市郡家町２４８６－５,0877-28-6311,http://www.k-ih.com/,×,〇,内科,佐藤勝幸永井利幸,香川労災病院（香川県丸亀市城東町３－３－１）,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9246,香川労災病院,763-8502,香川県丸亀市城東町３丁目３番１号,0877-23-3111,http://www.kagawah.johas.go.jp,×,△,内科、循環器内科、外科、胆管膵外科、整形外科、形成・再建外科、脳外科、脊髄神経外科、皮膚科、泌尿器科、産婦人科、眼科、耳鼻科、リハ科、歯科口腔外科,,,7,四国,7四国,37,香川県,37香川県,37202,丸亀市,37202丸亀市,3704,中讃,3704中讃
9247,香川成人医学研究所附属診療所ウェルクリニック,762-0005,香川県坂出市横津町３丁目２番３１号,0877-45-2312,https://www.kagawa-seijin.or.jp/clinic,×,〇,内科,松浦和義,回生病院（香川県坂出市室町３丁目５－２８）香川県立中央病院（香川県高松市朝日町１丁目２－１）等,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9248,聖母眼科医院,762-0007,香川県坂出市室町２－１－３９,0877-46-4481,http://www.web-santamaria.com,×,〇,眼科,磯部真,,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9249,こころの医療センター五色台,762-0023,香川県坂出市加茂町９６３,0877-48-2700,http://www.goshikidai.or.jp,×,〇,精神科心療内科,佐藤仁和田敬二繁昌和前田正人伊達健司伊藤典子高尾正彦間嶋崇宏大澤礼清浮田友香安田清愛東泰希村瀬百合子,,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9250,堀口医院,762-0025,香川県坂出市川津町３３２９番地１４,0877-45-8686,http://www.horiguchi-hp.jp/,×,〇,内科リハビリテーション科,堀口裕,,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9251,永井整形外科医院,762-0025,香川県坂出市川津町２７３０,0877-45-1177,http://www.nagai-group.com,〇,〇,整形外科,永井新二,坂出市立病院（香川県坂出市寿町３－１－２）回生病院（香川県坂出市室町３－５－２８）,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9252,うちだ小児科医院,762-0032,香川県坂出市駒止町１丁目４－３０,0877-46-2622,,×,〇,小児科,内田立志,坂出市立病院（香川県坂出市寿町３－１－２）,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9253,坂出メンタルクリニック,762-0032,香川県坂出市駒止町１丁目３番５号,0877-45-7672,http://www.goshikidai.or.jp/,×,〇,心療内科精神科,和田敬二繁昌和前田正人秋澤準子安田裕志,,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9254,佐藤医院,762-0032,香川県坂出町駒止２－１－３８,0877-46-3387,http://www.sato-c.or.jp,〇,〇,内科,佐藤融司佐藤彩,坂出市立病院（香川県坂出市寿町３－１－２）,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9255,みのりクリニック,762-0032,香川県坂出市駒止町一丁目３－５ライフスクエア坂出１階,0877-59-0082,https://www.minori-clinic.jp/,〇,〇,内科脳神経外科,蔵谷弘子乙宗佳奈子,なかの循環器内科クリニック（香川県坂出市林田町８７５－５）はしもとレディースクリニック（香川県綾歌郡宇多津町浜九番丁１４１番地１）,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9256,国重まこと医院,762-0038,香川県坂出市笠指町４番２８号,0877-46-5501,https://www.kunishigemakotoclinic.jp/,〇,〇,内科小児科,国重誠国重昭郎,,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9257,高尾医院,762-0045,香川県坂出市元町１－１０－５,0877-46-5111,,×,〇,泌尿器科腎臓内科外科整形外科皮膚科,高尾彰高尾正彦高田敏也,坂出市立病院（香川県坂出市寿町３－１－２）回生病院（香川県坂出市室町３丁目５－２８）,7,四国,7四国,37,香川県,37香川県,37203,坂出市,37203坂出市,3704,中讃,3704中讃
9258,岩野循環器内科医院,765-0021,香川県善通寺市下吉田町２２９－１,0877-63-7000,,〇,〇,循環器科内科,岩野健造福田信夫,四国こどもとおとなの医療センター（香川県善通寺市仙遊町２丁目１－１）香川労災病院（香川県丸亀市城東町３－３－１）回生病院（香川県坂出市室町３丁目５－２８）,7,四国,7四国,37,香川県,37香川県,37204,善通寺市,37204善通寺市,3704,中讃,3704中讃
9259,アイシークリニック,765-0032,香川県善通寺市原田町１４９４－１,0877-62-0118,,×,〇,内科,野上晃司野上みか岡部功,,7,四国,7四国,37,香川県,37香川県,37204,善通寺市,37204善通寺市,3704,中讃,3704中讃
9260,にしかわクリニック,765-0033,香川県善通寺市木徳町１０７３－６,0877-63-6500,http://www.kirakira.ne.jp/~nskwclnc/,〇,〇,小児科呼吸器科アレルギー科,西川清,四国こどもとおとなの医療センター（香川県善通寺市仙遊町２丁目１－１）香川労災病院（香川県丸亀市城東町３－３－１）,7,四国,7四国,37,香川県,37香川県,37204,善通寺市,37204善通寺市,3704,中讃,3704中讃
9261,三野小児科医院,768-0021,香川県観音寺市吉岡町１０－１,0875-25-7788,,〇,〇,小児科,三野正博,三豊総合病院（香川県観音寺市豊浜町姫浜７０８）,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9262,おざきこどもクリニック,768-0040,香川県観音寺市柞田町甲８８０番地２,0875-24-6789,park.paa.jp/park2/clinics/1221/businesses/01,〇,〇,小児科,尾崎貴視,三豊総合病院（香川県観音寺市豊浜町姫浜８０４）,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9263,もりの木おおにしクリニック,768-0073,香川県観音寺市茂西町一丁目６番３号,0875-25-3291,,×,〇,内科整形外科婦人科,大西泰裕冨田章一郎大西理子,三豊総合病院（香川県観音寺市豊浜町姫浜８０４）,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9264,よねいクリニック,769-1601,香川県観音寺市豊浜町姫浜７０３,0875‐52‐3800,http://www.yonei-cl.com/,×,〇,内科糖尿病内科,米井泰治,三豊総合病院（香川県観音寺市豊浜町姫浜８０４）,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9265,業天医院,769-1601,香川県観音寺市豊浜町姫浜２８０番地１２,0875-52-3636,,×,〇,内科,業天真之,,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9266,香川井下病院,769-1613,香川県観音寺市大野原町花稲８１８番地１,0875-52-2215,http://www.kagawa-inoshita-hospital.or.jp/,△,〇,内科、産婦人科、外科、整形外科、小児科、耳鼻咽喉科、眼科、泌尿器科、皮膚科、,,三豊総合病院（香川県観音寺市豊浜町姫浜８０４）,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9267,門脇医院,769-1614,香川県観音寺市大野原町萩原１２８６,0875-54-2011,,〇,〇,内科脳神経内科,門脇太郎,三豊総合病院（香川県観音寺市豊浜町姫浜８０４）,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9268,三豊総合病院,769-1695,香川県観音寺市豊浜町姫浜８０４,0875-52-3366,http://mitoyo-hosp.jp/,×,〇,,,,7,四国,7四国,37,香川県,37香川県,37205,観音寺市,37205観音寺市,3705,三豊,3705三豊
9269,図子メンタルクリニック,769-2101,香川県さぬき市志度２３８３－１,087-870-2355,www.zushi-mc.jp/,×,〇,精神科,図子義文,,7,四国,7四国,37,香川県,37香川県,37206,さぬき市,37206さぬき市,3701,大川,3701大川
9270,ひもりの里診療所,769-2102,香川県さぬき市鴨庄４４８１－２,087-890-1055,,×,〇,内科,大山美穂,さぬき市民病院（香川県さぬき市寒川町石田東甲３８７－１）,7,四国,7四国,37,香川県,37香川県,37206,さぬき市,37206さぬき市,3701,大川,3701大川
9271,田中小児科,769-2303,香川県さぬき市長尾名１０－１,0879-52-0010,https://itp.ne.jp/info/378721155400000899/,〇,〇,小児科内科,田中輝英,さぬき市民病院（さぬき市寒川町石田甲３８７－１）香川大学医学部附属病院（木田郡三木町池戸１９５０－１）,7,四国,7四国,37,香川県,37香川県,37206,さぬき市,37206さぬき市,3701,大川,3701大川
9272,大石整形外科医院,769-2304,香川県さぬき市昭和３３２２,0879-52-2107,http://www.o-chan.gr.jp,〇,〇,整形外科,大石卓夫,さぬき市民病院（香川県さぬき市寒川町石田東甲３８７－１）高松市立みんなの病院（香川県高松市仏生山町甲８４７番地１）,7,四国,7四国,37,香川県,37香川県,37206,さぬき市,37206さぬき市,3701,大川,3701大川
9273,さぬき市民病院,769-2321,香川県さぬき市寒川町石田東甲３８７番地１,0879-43-2521,https://www.city.sanuki.kagawa.jp/hospital/,×,〇,内科、内科、精神科・心療内科脳神経外科、泌尿器科、眼科、耳鼻咽喉科,各科主治医,,7,四国,7四国,37,香川県,37香川県,37206,さぬき市,37206さぬき市,3701,大川,3701大川
9274,つるわクリニック,769-2402,香川県さぬき市津田町鶴羽５７０－１,0879-42-0170,,×,〇,内科外科,高橋敬治,,7,四国,7四国,37,香川県,37香川県,37206,さぬき市,37206さぬき市,3701,大川,3701大川
9275,三好医院,769-2513,香川県東かがわ市大谷８１３－１,0879-25-3503,http://www.myclinic.ne.jp/miyoshi_clin/pc/clinic.html,×,〇,内科小児科,宮崎雅仁,高松赤十字病院（香川県高松市番町４丁目１－３）杢保小児科医院（香川県丸亀市飯山町川原９７２－１）,7,四国,7四国,37,香川県,37香川県,37207,東かがわ市,37207東かがわ市,3701,大川,3701大川
9276,田村内科医院,769-2601,香川県東かがわ市三本松３５３,0879-25-2868,,×,〇,内科,田村敬二,香川県立白鳥病院（東かがわ市松原９６３）さぬき市民病院（さぬき市寒川町石田甲３８７－１）,7,四国,7四国,37,香川県,37香川県,37207,東かがわ市,37207東かがわ市,3701,大川,3701大川
9277,鎌田医院,769-2701,香川県東かがわ市湊７０４番地,0879-25-2519,,〇,〇,内科,中山章,ぬき市民病院（香川県さぬき市寒川町石田東甲３８７－,7,四国,7四国,37,香川県,37香川県,37207,東かがわ市,37207東かがわ市,3701,大川,3701大川
